"filename", "language", "Django HTML", "JSON", "JavaScript", "CSS", "XML", "SCSS", "WebAssembly Text Format", "comment", "blank", "total"
"d:\Websites\EvoMeal\wp-content\themes\hello-elementor\header-footer.min.css", "CSS", 0, 0, 0, 329, 0, 0, 0, 0, 69, 398
"d:\Websites\EvoMeal\wp-content\themes\hello-elementor\style.min.css", "CSS", 0, 0, 0, 393, 0, 0, 0, 0, 60, 453
"d:\Websites\EvoMeal\wp-content\themes\hello-elementor\theme.min.css", "CSS", 0, 0, 0, 295, 0, 0, 0, 0, 44, 339
"d:\Websites\EvoMeal\wp-content\uploads\sites\42\elementor\css\post-12.css", "CSS", 0, 0, 0, 4723, 0, 0, 0, 0, 641, 5364
"d:\Websites\EvoMeal\wp-content\uploads\sites\42\elementor\css\post-19.css", "CSS", 0, 0, 0, 481, 0, 0, 0, 0, 58, 539
"d:\Websites\EvoMeal\wp-content\uploads\sites\42\elementor\css\post-26.css", "CSS", 0, 0, 0, 291, 0, 0, 0, 0, 22, 313
"d:\Websites\EvoMeal\wp-content\uploads\sites\42\elementor\css\post-62.css", "CSS", 0, 0, 0, 579, 0, 0, 0, 0, 72, 651
"d:\Websites\EvoMeal\wp-includes\js\jquery\jquery-migrate.min.js", "JavaScript", 0, 0, 287, 0, 0, 0, 0, 1, 9, 297
"d:\Websites\EvoMeal\wp-includes\js\jquery\jquery.min.js", "JavaScript", 0, 0, 3120, 0, 0, 0, 0, 0, 73, 3193
"d:\Websites\EvoMeal\wp-includes\js\jquery\ui\core.min.js", "JavaScript", 0, 0, 575, 0, 0, 0, 0, 103, 5, 683
"d:\Websites\EvoMeal\wp-includes\js\wp-emoji-release.min.js", "JavaScript", 0, 0, 184, 0, 0, 0, 0, 3, 11, 198
"Total", "-", 30065, 8763, 94258, 53417, 315, 133, 354583, 524, 14876, 556934
